stateName;stateAbbr;statepop;diabetesprevalence;diabetesIncidence;funding;Footnote;prediabetesselfreport;diabetesactionplan;DirectMedicalCostMillions;MedicareCost_Millions;medicaidCostMillions;DP230020;numdsmesPart;accreddsmesproviders;statemedicadeservices;participantsndpp;ndppproviders;medicardpproviders;statemedicaidcoverndpp;stateImage;uid
Alabama;AL;5,074,296;614,915;39;1,100,000;2022 Data;163;;6,479,000,000;2,634,000,000;956,000,000;1,100,000;9,265;49;No;6,182;23;7;No;circle_AL.png;US-AL
Alaska;AK;733,583;48,502;3;1,616,642;2022 Data;66;https://health.alaska.gov/dph/Chronic/Documents/Diabetes/coalition/AKDiabetesCoalition_StrategicPlan_2020-25.pdf ;707,000,000;119,000,000;151,000,000;850;1,737;6;No;1,726;7;1;No;circle_AK.png;US-AK
Arizona;AZ;7,359,197;731,946;46;1,677,094;2020 Data;631;https://azmemory.azlibrary.gov/nodes/view/271116;6,069,000,000;2,310,000,000;1,465,000,000;1,100,000;20,452;34;^Yes;10,069;25;2;Yes;circle_AZ.png;US-AZ
Arkansas;AR;3,045,637;367,336;19;1,909,800;2017 Data;145;;3,380,000,000;1,350,000,000;812,000,000;1,900,000;6,439;27;^Yes;3,915;12;2;No;circle_AR.png;US-AR
California;CA;39,029,342;3,520,486;247;5,610,355;2022 Data;4,089,000;https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CDCB/CDPH%20Document%20Library/DiabetesPrevActionPlan_FinalADA-07%2003%2018%20v2.pdf;43,431,000,000;13,441,000,000;12,311,000,000;3,250,000;91,149;109;^Yes;131,303;117;19;Yes;circle_CA.png;US-CA
Colorado;CO;5,839,926;377,34;26;1,241,988;2020 Data;479;;3,393,000,000;1,132,000,000;846,000,000;850;10,631;45;^Yes;25,74;26;6;Yes;circle_CO.png;US-CO
Connecticut;CT;3,626,205;308,829;20;850;2022 Data;296;https://portal.ct.gov/-/media/departments-and-agencies/dph/dph/aids_and_chronic/chronic_disease/pdf/dpcpplan81007pdf.pdf;5,063,000,000;1,347,000,000;1,573,000,000;850;9,967;21;No;5,568;14;1;No;circle_CT.png;US-CT
Delaware;DE;1,018,396;111,808;6;850;2022 Data;93;https://dhss.delaware.gov/dph/dpc/files/diabetesburdenreports23.pdf;1,319,000,000;463,000,000;242,000,000;850;2,234;7;No;4,508;8;5;Yes;circle_DE.png;US-DE
District of Columbia;DC;671,803;44,101;3;2,587,500;2019 Data;47;;851,000,000;185,000,000;375,000,000;1,850,000;2,548;8;;1,045;7;2;No;circle_DC.png;DISTRICT OF COLUMBIA
Florida;FL;22,244,823;2,173,352;117;1,445,996;2020 Data;1,276,000;https://www.floridahealth.gov/provider-and-partner-resources/dac/_documents/2023-dac-report.pdf;21,713,000,000;9,893,000,000;1,967,000,000;1,250,000;23,476;95;No;56,41;56;10;No;circle_FL.png;US-FL
Georgia;GA;10,912,876;1,017,106;70;26,105,531;2022 Data;807;https://dph.georgia.gov/document/document/2020-diabetes-action-plan-updated-sept-2023/download;10,219,000,000;3,906,000,000;1,413,000,000;1,250,000;26,071;65;No;24,979;62;4;No;circle_GA.png;US-GA
Hawaii;HI;1,440,196;134,107;9;868;2022 Data;171;https://hhsp.hawaii.gov/assets/pdf/HHSP_Diabetes_Plan_WEB.pdf;1,264,000,000;336,000,000;302,000,000;850;9,263;17;^Yes;1,932;18;9;No;circle_HI.png;US-HI
Idaho;ID;1,939,033;145,661;11;850;2021 Data;114;;1,418,000,000;483,000,000;334,000,000;850;6,363;22;Yes;4,207;12;5;Yes;circle_ID.png;US-ID
Illinois;IL;12,582,032;1,185,651;76;7,961,990;2022 Data;908;https://dph.illinois.gov/content/dam/soi/en/web/idph/files/publications/diabetes-action-plan-053018.pdf;13,939,000,000;4,699,000,000;3,294,000,000;6,625,000;54,008;83;No;13,033;48;6;Yes;circle_IL.png;US-IL
Indiana;IN;6,833,037;666,375;37;1,402,995;2022 Data;550;https://www.in.gov/health/cdpc/files/update-ids-plan.pdf;8,146,000,000;2,833,000,000;1,889,000,000;1,100,000;23,303;55;Yes;16,317;33;6;No;circle_IN.png;US-IN
Iowa;IA;3,200,517;287,477;19;850;2022 Data;195;;3,174,000,000;988,000,000;767,000,000;850;15,51;52;Yes;4,787;24;8;No;circle_IA.png;US-IA
Kansas;KS;2,937,150;256,529;17;904;2022 Data;231;https://www.kdhe.ks.gov/DocumentCenter/View/33926/2024-Diabetes-Report-PDF?bidId=;2,863,000,000;1,018,000,000;384,000,000;850;8,121;31;No;9,891;19;4;Yes;circle_KS.png;US-KS
